name	electrode_name	type	units
ch446	e446	n/a	V
ch447	e447	n/a	V
ch448	e448	n/a	V
ch449	e449	n/a	V
ch450	e450	n/a	V
ch451	e451	n/a	V
ch452	e452	n/a	V
ch453	e453	n/a	V
ch454	e454	n/a	V
ch455	e455	n/a	V
ch456	e456	n/a	V
ch457	e457	n/a	V
ch458	e458	n/a	V
ch459	e459	n/a	V
ch460	e460	n/a	V
ch461	e461	n/a	V
ch462	e462	n/a	V
ch463	e463	n/a	V
ch464	e464	n/a	V
ch465	e465	n/a	V
ch466	e466	n/a	V
ch467	e467	n/a	V
ch468	e468	n/a	V
ch469	e469	n/a	V
ch470	e470	n/a	V
ch471	e471	n/a	V
ch472	e472	n/a	V
ch473	e473	n/a	V
ch474	e474	n/a	V
ch475	e475	n/a	V
ch476	e476	n/a	V
ch477	e477	n/a	V
ch478	e478	n/a	V
ch479	e479	n/a	V
ch480	e480	n/a	V
ch481	e481	n/a	V
ch482	e482	n/a	V
ch483	e483	n/a	V
ch484	e484	n/a	V
ch485	e485	n/a	V
ch486	e486	n/a	V
ch487	e487	n/a	V
ch488	e488	n/a	V
ch489	e489	n/a	V
ch490	e490	n/a	V
ch491	e491	n/a	V
ch492	e492	n/a	V
ch493	e493	n/a	V
ch494	e494	n/a	V
ch495	e495	n/a	V
ch496	e496	n/a	V
ch497	e497	n/a	V
ch498	e498	n/a	V
ch499	e499	n/a	V
ch500	e500	n/a	V
ch501	e501	n/a	V
ch502	e502	n/a	V
ch503	e503	n/a	V
ch504	e504	n/a	V
ch505	e505	n/a	V
ch506	e506	n/a	V
ch507	e507	n/a	V
ch508	e508	n/a	V
ch509	e509	n/a	V
ch510	e510	n/a	V
ch511	e511	n/a	V
ch512	e512	n/a	V
ch513	e513	n/a	V
ch514	e514	n/a	V
ch515	e515	n/a	V
ch516	e516	n/a	V
ch517	e517	n/a	V
ch518	e518	n/a	V
ch519	e519	n/a	V
ch520	e520	n/a	V
ch521	e521	n/a	V
ch522	e522	n/a	V
ch523	e523	n/a	V
ch524	e524	n/a	V
ch525	e525	n/a	V
ch526	e526	n/a	V
ch527	e527	n/a	V
ch528	e528	n/a	V
ch529	e529	n/a	V
ch530	e530	n/a	V
ch531	e531	n/a	V
ch532	e532	n/a	V
ch533	e533	n/a	V
ch534	e534	n/a	V
ch535	e535	n/a	V
ch536	e536	n/a	V
ch537	e537	n/a	V
ch538	e538	n/a	V
ch539	e539	n/a	V
ch540	e540	n/a	V
ch541	e541	n/a	V
ch542	e542	n/a	V
ch543	e543	n/a	V
ch544	e544	n/a	V
ch545	e545	n/a	V
ch546	e546	n/a	V
ch547	e547	n/a	V
